6,26,2,25,40,9,43,32807
13,38,1,25,40,6,42,28286
13,38,0,25,40,0,39,27406
2,19,2,25,60,9,41,29788
27,38,5,25,40,12,44,22124
18,24,2,25,40,9,41,22014
13,35,2,25,60,9,38,31795
22,41,0,25,40,0,39,31553
22,60,5,25,40,12,36,25270
24,32,0,25,40,0,40,31402
21,43,1,25,100,6,35,34698
22,50,5,25,40,12,35,33425
6,36,2,25,60,9,38,23639
28,18,0,25,40,0,40,25580
16,19,1,25,60,6,38,28068
29,35,0,25,40,0,45,27046
27,45,2,25,60,9,39,30828
20,21,5,25,40,12,38,24508
12,21,0,25,40,0,35,21567
2,40,0,25,40,0,35,32268
56,57,8,100,60,15,44,46840
69,49,12,50,60,16,43,62230
60,40,12,50,60,16,42,53294
41,53,8,50,60,15,41,44895
68,43,8,100,100,15,45,45611
51,32,5,50,60,12,38,63600
54,43,8,50,60,15,44,53164
57,23,8,50,100,15,44,45898
61,29,12,50,60,16,44,53326
48,35,8,50,60,15,43,40692
49,35,12,100,100,16,42,45442
69,55,8,50,60,15,43,48755
66,26,12,50,60,16,41,64488
62,40,5,50,100,12,40,52775
56,29,8,100,60,15,45,57370
57,43,8,50,60,15,44,61806
53,37,8,50,100,15,40,56529
51,34,12,50,60,16,40,58529
54,30,8,50,60,15,43,55696
60,55,12,100,100,16,38,61474
92,54,20,100,60,23,44,89517
90,52,16,100,100,18,43,105025
81,35,16,100,100,18,44,113709
81,51,12,100,100,16,44,96931
81,49,16,50,100,18,43,117787
72,40,20,100,60,23,45,75107
77,38,16,100,100,18,45,103283
70,60,12,50,100,16,44,85910
84,53,16,100,100,18,42,83345
73,58,16,100,100,18,44,77031
72,49,16,100,100,18,42,117394
93,35,12,50,60,16,45,77778
75,42,16,100,100,18,45,115052
86,35,16,50,100,18,42,81886
94,55,20,100,100,23,43,84301
77,45,16,100,100,18,44,102506
76,53,16,50,100,18,43,105664
75,46,20,100,100,23,43,99904
73,34,16,100,100,18,45,89442
71,47,12,100,40,16,45,86023
15,24,5,25,100,12,40,20413
30,19,2,25,60,9,44,30854
28,26,1,25,40,6,39,30459
29,20,0,25,40,0,36,24831
18,34,0,25,60,0,39,32376
7,30,5,25,40,12,37,30965
20,44,2,25,60,9,38,34476
29,36,0,25,40,0,41,32439
29,18,1,25,60,6,38,27797
27,29,0,25,40,0,42,32279
27,47,5,25,60,12,44,27773
3,41,1,25,60,6,36,34550
16,36,2,25,40,9,38,25160
26,32,0,25,60,0,43,29787
14,54,0,25,40,0,35,29595
10,22,0,25,40,0,40,24574
15,19,0,25,40,0,36,27087
10,57,1,25,100,6,44,28387
9,24,5,25,40,12,45,21321
11,43,2,25,40,9,42,34342
58,53,8,50,60,15,38,55440
52,40,5,50,60,12,39,62747
64,24,8,50,60,15,45,60890
52,34,8,50,100,15,42,57721
40,45,12,100,60,16,40,52738
63,57,8,50,60,15,39,68754
51,52,5,50,60,12,39,59247
64,39,8,100,100,15,44,60029
50,28,12,50,60,16,43,63912
64,56,8,50,60,15,39,66549
43,49,12,50,100,16,38,42384
53,25,8,50,60,15,41,68084
63,33,12,100,60,16,43,55503
48,50,8,50,60,15,45,65555
45,45,12,50,100,16,38,53742
68,47,8,50,60,15,43,54628
50,60,5,50,60,12,44,63801
49,44,8,50,100,15,42,42756
62,42,12,100,60,16,39,67072
51,23,8,50,60,15,43,53136
92,45,16,50,100,18,43,87959
89,29,16,100,100,18,43,90550
90,55,20,50,100,23,44,88133
85,51,16,100,60,18,42,95170
70,48,16,100,100,18,42,77260
86,29,12,100,100,16,45,110551
73,29,16,50,100,18,43,92855
78,36,20,100,100,23,44,94206
85,56,16,100,100,18,42,115893
87,49,16,100,60,18,43,95257
92,32,20,50,100,23,42,83553
82,36,20,100,100,23,42,77851
75,38,16,100,100,18,45,93619
73,46,16,100,100,18,44,74667
83,29,20,50,60,23,42,111366
89,40,12,100,100,16,45,98929
86,58,16,100,100,18,42,108467
70,59,20,100,100,23,44,118138
83,50,16,100,100,18,45,94368
77,58,20,100,60,23,42,106759
8,19,5,25,40,12,44,20430
26,60,0,25,40,0,39,34455
13,56,2,25,40,9,36,24964
24,55,0,25,40,0,35,22958
7,41,1,25,60,6,40,31187
5,55,0,25,40,0,35,31252
12,22,2,25,60,9,39,30162
17,34,0,25,40,0,45,23034
20,46,5,25,60,12,45,25311
26,25,1,25,40,6,37,26586
24,25,5,25,40,12,35,27904
1,49,0,25,60,0,39,21424
13,43,2,25,40,9,39,27154
1,34,0,25,60,0,41,23849
13,49,1,25,40,6,38,27579
3,58,2,25,40,9,43,28289
25,28,1,25,60,6,42,29296
6,33,1,25,40,6,40,29619
2,40,5,25,40,12,35,22015
15,20,5,25,40,12,40,34116
19,21,2,25,60,9,35,24233
14,22,0,25,40,0,43,34396
22,27,2,25,40,9,39,27577
4,22,1,25,100,6,40,25398
16,35,0,25,40,0,37,20354
3,22,0,25,60,0,42,32892
23,50,5,25,40,12,43,31167
6,20,0,25,40,0,38,34200
26,32,1,25,40,6,35,21902
16,36,0,25,40,0,41,33022
58,55,5,50,100,12,45,42129
67,59,8,50,60,15,45,68292
65,24,8,50,60,15,39,45519
54,29,12,50,60,16,39,63824
63,55,8,100,100,15,43,41904
61,57,8,50,60,15,38,57281
64,49,12,50,60,16,45,62858
57,40,8,50,60,15,40,69555
58,39,8,50,100,15,42,55736
60,28,8,50,60,15,38,65046
62,57,12,100,60,16,45,51943
63,41,8,50,60,15,38,56045
60,24,5,50,10,12,41,68021
54,30,8,50,60,15,44,42702
61,40,12,50,60,16,44,57553
46,41,8,50,60,15,42,66758
41,31,8,50,100,15,39,55831
49,49,12,50,60,16,39,52241
53,26,8,50,60,15,44,59591
50,39,8,50,100,15,42,65698
60,32,5,50,60,12,44,42605
68,41,8,100,60,15,44,43531
49,52,8,50,100,15,40,44046
55,24,12,50,60,16,42,43489
41,28,8,50,60,15,39,60010
41,28,8,50,100,15,43,58409
57,48,12,50,60,16,39,40054
45,38,8,50,60,15,38,43793
52,35,8,50,100,15,43,60992
56,26,12,50,60,16,42,57587
74,38,16,100,100,18,44,71249
83,57,16,50,100,18,44,80067
88,32,20,100,100,23,43,87321
79,48,16,100,40,18,43,114126
85,34,12,100,100,16,44,79386
